record_num,id,reason,precursor,title,authors,year,journal,doi
395,CN-00160012,No NMN or NR,none,Effectiveness of rest pauses and cooling in alleviation of heat stress during simulated fire-fighting activity,"Carter, JB; Banister, EW; Morrison, JB",1999,Ergonomics,10.1080/001401399185667
396,CN-02946633,No relevant precursor,none,Effect of dietary nitrate intake on fatigue resistance following ischemia-induced microvascular dysfunction in males and females,"Alberto de Souza Filho, C; Ramos-Junior, OJF; Soares, RN...",2025,Journal of nutrition,10.1016/j.tjnut.2025.101263
397,CN-00092461,Not NMN/NR intervention,none,Anaerobic power responses to amino acid nutritional supplementation,"Maresh, CM; Gabaree, CL; Hoffman, JR...",1991,International journal of sport nutrition,10.1123/ijsn.1.4.366
398,CN-02545200,No NMN or NR,none,Certolizumab pegol response in patients with non-radiographic axial spondyloarthritis by baseline C-reactive protein cut-offs: phase 3 multicenter study post-hoc analysis,"Robinson, P; Hall, S; Hoepken, B...",2023,International journal of rheumatic diseases,10.1111/1756-185X.14505
399,CN-02257963,Unrelated intervention,none,Certolizumab Pegol Efficacy in Patients with Non-Radiographic Axial Spondyloarthritis Stratified by Baseline MRI and C-Reactive Protein Status,"Deodhar, A; Gensler, L; Hall, S...",2020,Arthritis &amp; rheumatology,10.1002/art.41538
401,CN-01763187,Not NAD+ precursor,none,Role of baseline c-reactive protein in response to infliximab plus naproxen vs naproxen alone in patients with axial spondyloarthritis,"Sieper, J; Rudwaleit, M; Lenaerts, J...",2013,Arthritis and rheumatism,10.1002/art.38216
402,CN-01141716,Different supplement,none,"Treatment of antipsychotic-associated obesity with a GLP-1 receptor agonist--protocol for an investigator-initiated prospective, randomised, placebo-controlled, double-blinded intervention study: the TAO study protocol","Ishøy, PL; Knop, FK; Broberg, BV...",2014,BMJ open,10.1136/bmjopen-2013-004158
403,CN-02406815,No relevant precursor,none,Association of C-reactive Protein and Partial Mayo Score With Response to Tofacitinib Induction Therapy: results From the Ulcerative Colitis Clinical Program,"Dubinsky, MC; Magro, F; Steinwurz, F...",2023,Inflammatory bowel diseases,10.1093/ibd/izac061
404,CN-02415004,Not NAD+ precursor,none,Certolizumab Pegol Efficacy in Patients With Non-Radiographic Axial Spondyloarthritis Stratified by Baseline MRI and C-Reactive Protein Status: an Analysis From the C-axSpAnd Study,"Robinson, PC; Maksymowych, WP; Gensler, LS...",2022,ACR open rheumatology,10.1002/acr2.11469
405,CN-02916057,No relevant precursor,none,Updated duration of response for patients receiving dostarlimab plus carboplatin-paclitaxel treatment compared with patients receiving placebo plus carboplatin-paclitaxel in the ENGOT-EN6-NSGO/GOG-3031/RUBY trial,"Mirza, M; Willmott, L; Hietanen, S...",2025,Gynecologic oncology,10.1016/j.ygyno.2025.04.079
406,CN-02460376,Different supplement,none,LONG-TERM CLINICAL OUTCOMES of CERTOLIZUMAB PEGOL TREATMENT in PATIENTS with ACTIVE NON-RADIOGRAPHIC AXIAL SPONDYLOARTHRITIS STRATIFIED by BASELINE MRI and C-REACTIVE PROTEIN STATUS,"Robinson, P; Maksymowych, WP; Gensler, LS...",2022,Annals of the rheumatic diseases,10.1136/annrheumdis-2022-eular.2834
407,CN-02384852,Unrelated intervention,none,Response to certolizumab pegol in patients with non-radiographic axial spondyloarthritis by baseline C-reactive protein cut-offs: post-hoc analysis from a phase 3 multicenter study,"Robinson, P; Hall, S; Hoepken, B...",2021,Arthritis &amp; rheumatology,10.1002/art.41966
408,CN-01725401,Wrong intervention,none,Sustained efficacy of adalimumab in patients with non-radiographic axial spondyloarthritis with positive MRI of the sacroiliac joints or spine or elevated C-reactive protein at baseline,"Sieper, J; Van Der Heijde, D; Dougados, M...",2013,Rheumatology (united kingdom),10.1093/rheumatology/ket198
410,CN-02259711,Different supplement,none,Response to certolizumab pegol in patients with non-radiographic axial spondyloarthritis by baseline C-reactive protein cut-offs: post-hoc analysis from C-axSpAnd,"Robinson, P; Hall, S; Hoepken, B...",2020,International journal of rheumatic diseases,10.1111/1756-185X.13984
411,CN-02731014,No NMN/NR,none,Trial of efficacy and safety of MC0518 versus best available therapy in patients with steroid-refractory acute graft versus host disease,"CTIS2023-503952-28-00,",2023,https://trialsearch.who.int/Trial2.aspx?TrialID=CTIS2023-503952-28-00,
412,CN-02176744,Not NAD+ precursor,none,Immune alterations in a window of opportunity for durvalumab (MEDI4736) plus metformin trial in squamous cell carcinoma of the head and neck (SCCHN),"Curry, JM; Nwagu, U; Harshyne, L...",2020,Annals of oncology,10.1016/j.annonc.2020.08.1038
414,CN-02687578,No NMN or NR,none,Fecal Transplantation in Patients Colonic Diverticulitis,"NCT06254625,",2023,https://clinicaltrials.gov/ct2/show/NCT06254625,
415,CN-02876479,Not NMN/NR intervention,none,A high-protein diet with and without strength training shows no negative effects on oxidative stress markers in older adults,"Bragagna, L; Maqboul, L; Baron, R...",2025,Redox biology,10.1016/j.redox.2025.103707
416,CN-02276395,No NMN/NR,none,Outcomes in 36 patients with stage IIIA-N2 squamous cell carcinoma of the lung treated with nab-paclitaxel plus carboplatin as neoadjuvant therapy: a prospective study from a single center,"Zhu, J; Zhang, Y; Wang, M...",2021,Medical science monitor,10.12659/MSM.930738
417,CN-02918076,No NMN or NR,none,Modified Mediterranean diet effects on Parkinson's disease (MED-PARK): a single-centre randomised controlled trial protocol,"Pirovano, E; Marino, F; Rossi, E...",2025,BMJ open,10.1136/bmjopen-2025-101946
418,CN-02666073,No NMN or NR,none,"Treatment outcomes by stratifying the N-acetyl transferase 2 phenotype in pre-treated patients with advanced refractory biliary tract cancer treated with nanvuranlat, an L-type amino acid transporter inhibitor: an ad-hoc analysis of a randomized, double-blind, placebo-controlled phase 2 study","Okano, N; Nagashima, F; Nishioka, M...",2024,Journal of clinical oncology,
419,CN-02203482,No relevant precursor,none,"Efficacy of ixekizumab on disease activity and quality of life in patients with active non-radiographic axial spondyloarthritis and objective signs of inflammation, stratified by baseline CRP/sacroiliac joint MRI status","Maksymowych, WP; Marzo-Ortega, H; Ostergaard, M...",2020,Annals of the rheumatic diseases,10.1136/annrheumdis-2020-eular.2027
420,CN-02181413,Not randomized,NR,The NO-ALS Study: a Trial of Nicotinamide/Pterostilbene Supplement in ALS,"NCT04562831,",2020,https://clinicaltrials.gov/ct2/show/NCT04562831,
421,CN-02527433,Narrative review,NR,"Comparing nicotinamide ribose with vitamin E to improve fertility in elderly women: a single-center, randomized, parallel trial","ChiCTR2200056972,",2022,https://trialsearch.who.int/Trial2.aspx?TrialID=ChiCTR2200056972,
422,CN-01373610,Wrong intervention,none,A phase Ib study of sorafenib (BAY 43-9006) in patients with Kaposi sarcoma,"Uldrick, TS; Gonçalves, PH; Wyvill, KM...",2017,Oncologist,10.1634/theoncologist.2016-0486
423,CN-02517418,Not NAD+ precursor,none,Efficacy and safety of bimekizumab in axial spondyloarthritis: results of two parallel phase 3 randomised controlled trials,"van der Heijde, D; Deodhar, A; Baraliakos, X...",2023,Annals of the rheumatic diseases,10.1136/ard-2022-223595
424,CN-01884293,No NMN or NR,none,Evaluating the effects of oligopin supplementation on the turnover of bone formation and antioxidant changes in postmenopausal osteopenic women,"IRCT2017060334308N1,",2017,https://trialsearch.who.int/Trial2.aspx?TrialID=IRCT2017060334308N1,
425,CN-01899847,No relevant precursor,none,To evluate the safety profile of NR-INF-02,"CTRI/2018/02/011766,",2018,https://trialsearch.who.int/Trial2.aspx?TrialID=CTRI/2018/02/011766,
426,CN-01977361,Not NAD+ precursor,none,The importance of oral trifluridine/tipiracil (TAS- 102) chemotherapy for the treatment of patients with metastatic colorectal cancer,"Holubec, L; Polivka, J; Safanda, M...",2019,Tumor biology,10.1177/1010428319842942
427,CN-02017904,Different supplement,none,"Cholecalciferol Supplementation, Muscle Strength","NCT00682214,",2008,https://clinicaltrials.gov/show/NCT00682214,
428,CN-01598764,No randomized design,NR,Use of 31P MRS to Assess Brain NAD+ in Healthy Collegiate Athletes,"NCT02721537,",2016,https://clinicaltrials.gov/show/NCT02721537,
429,CN-02523400,No NMN/NR,none,Effect of caffeine and citrulline malate on resistance exercise and jumping performance: a randomized double-blind placebo-controlled crossover study,"ISRCTN11694009,",2023,https://trialsearch.who.int/Trial2.aspx?TrialID=ISRCTN11694009,
430,CN-02215388,Different supplement,none,Ruxolitinib use in graft versus host disease in pediatric hematopoietic stem cell transplant patients. Two centres experience,"Mozo, Y; Benitez, MI; Rosich, B...",2019,Bone marrow transplantation,10.1038/s41409-019-0559-4
431,CN-02657533,Not NMN/NR intervention,none,TREATMENT WITH UPADACITINIB RESULTS IN THE INHIBITION OF A BROAD RANGE OF POTENTIALLY PATHOGENIC PATHWAYS IN NR-AXSPA AND BDMARD-IR AS PATIENTS: PROTEOMIC ANALYSIS FROM THE SELECT-AXIS 2 PHASE 3 STUDIES,"Sornasse, T; Song, IH; Wung, P...",2023,Annals of the rheumatic diseases,10.1136/annrheumdis-2023-eular.3708
432,CN-01047766,Different supplement,none,"Efficacy and safety of faldaprevir, deleobuvir, and ribavirin in treatment-naive patients with chronic hepatitis C virus infection and advanced liver fibrosis or cirrhosis","Zeuzem, S; Soriano, V; Asselah, T...",2015,Antimicrobial agents and chemotherapy,10.1128/AAC.04383-14
433,CN-01295643,No NMN or NR,none,KEYNOTE-025: phase 1b study of pembrolizumab (pembro) in Japanese patients (pts) with previously treated PD-L1+ non-small cell lung cancer (NSCLC),"Kato, T; Takahashi, T; Yoshioka, H...",2016,Annals of oncology,10.1093/annonc/mdw383.21
437,CN-02933296,Wrong intervention,none,POSITRON EMISSION TOMOGRAPHY with COMPUTED TOMOGRAPHY and MINIMAL RESIDUAL DISEASE for EFFICACY ASSESSMENT in TRANSPLANT-INELIGIBLE NEWLY DIAGNOSED MYELOMA PATIENTS: IMROZ ANALYSIS,"Zamagni, E; Facon, T; Dimopoulos, MA...",2025,HemaSphere,10.1002/hem3.70152
438,CN-02891680,Different supplement,none,Positron emission tomography with computed tomography (PET/CT) and minimal residual disease (MRD) for efficacy assessment in transplant-ineligible newly diagnosed myeloma (Ti NDMM) patients (pts): IMROZ analysis,"Zamagni, E; Facon, T; Dimopoulos, MA...",2025,Journal of clinical oncology,
439,CN-01396085,No NMN or NR,none,Non-radiographic axial spondyloarthritis patients without initial evidence of inflammation may develop objective inflammation over time,"Baraliakos, X; Sieper, J; Chen, S...",2017,"Rheumatology (Oxford, England)",10.1093/rheumatology/kex081
440,CN-02748712,No NMN or NR,none,Alliance A091902: a multicenter randomized phase II trial of paclitaxel (P) with or without nivolumab (N) in patients (pts) with advanced angiosarcoma (AS),"Grilley-Olson, JE; Allred, JB; Schuetze, S...",2024,Journal of clinical oncology,
441,CN-02613393,Wrong intervention,none,Bimekizumab treatment in patients with active axial spondyloarthritis: 52-week efficacy and safety from the randomised parallel phase 3 BE MOBILE 1 and BE MOBILE 2 studies,"Baraliakos, X; Deodhar, A; Van Der Heijde, D...",2024,Annals of the rheumatic diseases,10.1136/ard-2023-224803
442,CN-02258703,Different supplement,none,"Addition of brentuximab vedotin to gemcitabine in relapsed or refractory T-cell lymphoma: results of a lysa multicenter, phase II study. “the TOTAL Trial”","Tournilhac, O; Hacini, M; Bouabdallah, K...",2020,Blood,10.1182/blood-2020-139224
443,CN-01049935,Different supplement,none,Clinically active non-radiographic axial spondyloarthritis patients who initially have a negative MRI and normal CRP may develop a positive MRI or elevated CRP at a later timepoint,"Baraliakos, X; Sieper, J; Chen, S...",2014,Arthritis &amp; rheumatology,10.1002/art.38914
444,CN-01162836,No relevant precursor,none,Baseline MRI/CRP as predictors of response to etanercept in the management of patients with non-radiographic axial spondyloarthritis,"Brown, MA; Bird, PA; Robinson, PC...",2015,Annals of the rheumatic diseases,10.1136/annrheumdis-2015-eular.2254
446,CN-00916023,Not NAD+ precursor,none,"Effect of NR-Salacia on post-prandial hyperglycemia: a randomized double blind, placebo-controlled, crossover study in healthy volunteers","Koteshwar, P; Raveendra, KR; Allan, JJ...",2013,Pharmacognosy magazine,10.4103/0973-1296.117831
447,CN-01763371,No relevant precursor,none,Chronic hepatitis C: the viral load per liver cell before treatment as a new marker to predict long-term response to IFN-alpha therapy,"Schlaak, JF; Trippler, M; Ernst, I...",1997,Journal of hepatology,10.1016/S0168-8278(97)80331-5
448,CN-02912600,Different supplement,none,Improvement in liver histology is observed in most patients with chronic hepatitis delta after 48 weeks of bulevirtide monotherapy,"Cornberg, M; Lampertico, P; Aleman, S...",2025,Zeitschrift fur Gastroenterologie,10.1055/s-0044-1801201
449,CN-02630157,No NMN/NR,none,Lenalidomide-Rituximab or Lenalidomide-Rituximab-Bendamustine in Patients with Relapsed/Refractory Follicular Lymphoma: priimary Analysis of the Randomized Phase II HOVON110/Rebel Trial,"Kersten, MJ; Dreyling, M; Linton, KM...",2022,Blood,10.1182/blood-2022-156085
450,CN-02946094,Different supplement,none,Bimekizumab maintained stringent clinical responses through week 52 in patients with axial spondyloarthritis: results from the phase 3 studies BE MOBILE 1 and BE MOBILE 2 (update),"Bird, P; Proft, F; Van Der Heijde, D...",2024,International journal of rheumatic diseases,10.1111/1756-185X.15172
451,CN-00221348,Not NMN/NR intervention,none,Earlier loss of hepatitis C virus RNA in interferon therapy can predict a long-term response in chronic hepatitis C,"Kakumu, S; Aiyama, T; Okumura, A...",1997,Journal of gastroenterology and hepatology,10.1111/j.1440-1746.1997.tb00468.x
452,CN-01303119,No NMN or NR,none,"Initial results of a phase 2 study of guadecitabine (SGI-110), a novel subcutaneous (sc) Hypomethylating agent, for patients with previously untreated intermediate-2 or high risk myelodysplastic syndromes (MDS) or chronic myelomonocytic leukemia (CMML)","Montalban-Bravo, G; Bose, P; Alvarado, Y...",2016,Blood,
453,CN-02752189,Non-randomized study,NMN,Evaluation of Beta NMN pills in slowing the aging process in patients with heart disease,"CTRI/2024/08/073020,",2024,https://trialsearch.who.int/Trial2.aspx?TrialID=CTRI/2024/08/073020,
454,CN-02901211,Different supplement,none,Improvement in liver histology is observed in most patients with chronic hepatitis delta after 48weeks of bulevirtide monotherapy,"Lampertico, P; Aleman, S; Bogomolov, P...",2024,Journal of hepatology,10.1016/S0168-8278(24)02204-9
455,CN-01647528,Not NMN/NR intervention,none,Efficacy and safety of continuing versus withdrawing adalimumab (ADA) in maintaining remission in patients with non-radiographic axial spondyloarthritis (Nr-AXSPA),"Landewe, R; Sieper, J; Mease, P...",2018,Annals of the rheumatic diseases,10.1136/annrheumdis-2018-eular.2641
456,CN-01647440,Not NMN/NR intervention,none,Predictors of remission maintenance and successful therapy discontinuation in patients with non-radiographic axial spondyloarthritis (NR-AXSPA) who achieved sustained remission on open-label adalimumab (ADA) treatment,"Sieper, J; Landewe, R; Magrey, M...",2018,Annals of the rheumatic diseases,10.1136/annrheumdis-2018-eular.2632
458,CN-02798842,Not NAD+ precursor,none,"Antileukemic Activity and Tolerability of ASP2215 80mg and Greater in FLT3 Mutation-Positive Subjects with Relapsed or Refractory Acute Myeloid Leukemia: results from a Phase 1/2, Open-Label, Dose-Escalation/Dose-Response Study","Altman, JK; Perl, AE; Cortes, JE...",2015,Blood,10.1182/blood.V126.23.321.321
459,CN-00220554,Wrong intervention,none,Three-year follow-up of chronic hepatitis C patients treated with ribavirin plus interferon-alpha combination therapy: evidence for long-term efficacy and safety,"Brillanti, S; Foli, M; Masci, C...",1996,"Hepatology (Baltimore, Md.)",
460,CN-02303661,Different supplement,none,Normalization of high sensitivity crp versus clinical response to ixekizumab at week 16 in patients with radiographic &amp; non-radiographic axial spondyloarthritis: results from the coast studies,"Marzo-Ortega, H; Juanola, X; Okano, T...",2021,Annals of the rheumatic diseases,10.1136/annrheumdis-2021-eular.2079
461,CN-00873306,Wrong intervention,none,"Open-label, ascending dose, prospective cohort study evaluating the antiviral efficacy of Rosuvastatin therapy in serum and lipid fractions in patients with chronic hepatitis C","Patel, K; Jhaveri, R; George, J...",2011,Journal of viral hepatitis,10.1111/j.1365-2893.2010.01310.x
462,CN-02890288,No NMN/NR,none,EFFICACY AND SAFETY AT 96 WEEKS OF BULEVIRTIDE 2MG OR 10 MG MONOTHERAPY FOR CHRONIC HEPATITIS D (CHD): RESULTS FROM AN INTERIM ANALYSIS OF A PHASE 3 RANDOMIZED STUDY,"Yu, J; Wedemeyer, H; Aleman, S...",2024,Gut,10.1136/gutjnl-2024-IDDF.192
463,CN-02604356,Literature review,both,Blood NAD levels in healthy aging subjects,"CTRI/2023/10/058217,",2023,https://trialsearch.who.int/Trial2.aspx?TrialID=CTRI/2023/10/058217,
464,CN-02841872,Unrelated intervention,none,Combining interleukin 6 and EBV DNA levels predicts survival outcomes for patients with recurrent or metastatic nasopharyngeal carcinoma receiving chemoimmunotherapy,"Liu, Y; Huang, Z; Chen, C...",2025,Frontiers in immunology,10.3389/fimmu.2025.1560897
465,CN-02394750,Not NMN/NR intervention,none,"Pembrolizumab versus chemotherapy for microsatellite instability-high or mismatch repair-deficient metastatic colorectal cancer (KEYNOTE-177): final analysis of a randomised, open-label, phase 3 study","Diaz, LA; Shiu, KK; Kim, TW...",2022,The lancet. Oncology,10.1016/S1470-2045(22)00197-8
466,CN-02655243,No NMN or NR,none,The Impact of Nociception Monitor-Guided Multimodal General Anesthesia on Postoperative Outcomes in Patients Undergoing Laparoscopic Bowel Surgery: a Randomized Controlled Trial,"Okamoto, S; Ogata, H; Ooba, S...",2024,Journal of clinical medicine,10.3390/jcm13020618
468,CN-00220639,No NMN or NR,none,A randomised controlled trial of leukocyte IFN-alpha+ribavirin in HCV chronic hepatitis relapsing patients,"Caremani, M; Benci, A; Castellacci, R...",1996,"Hepatology (Baltimore, Md.)",
469,CN-00653255,Wrong intervention,none,Response-guided therapy in a prospective trial of peginterferon alfa-2a (40KD)/ribavirin treatment in patients with genotypes 1 or 4,"Ferenci, P; Laferl, H; Scherzer, T...",2007,"Hepatology (Baltimore, Md.)",
470,CN-01527929,Not NMN/NR intervention,none,A Controlled Trial of Extended Brief Interventions in Alcohol Dependent Patients,"NCT01060397,",2010,https://clinicaltrials.gov/show/NCT01060397,
472,CN-01908055,Not NAD+ precursor,none,A long-term extension study to investigate the safety and effectiveness of Tildrakizumab in patients with Psoriatic Arthritis and Ankylosing Spondylitis or Non-Radiographic Axial Spondyloarthritis who have previously completed other studies with Tildrakizumab,"EUCTR2018-001060-35-HU,",2018,https://trialsearch.who.int/Trial2.aspx?TrialID=EUCTR2018-001060-35-HU,
473,CN-00271157,Wrong intervention,none,"Multicenter, placebo-controlled, double-blind trial of interferon alpha-2b plus ribavirin vs interferon alone for retreatment of non-responders and relapsers with chronic hepatitis c who have failed previous treatment with interferon: a 48 week review","Dettmer, RM; Aytaman, A; Bloom, AA...",1999,"Hepatology (Baltimore, Md.)",
474,CN-00506920,Unrelated intervention,none,Retreatment of IFN/ribavirin non-responder hepatitis C patients: benefit of peg-interferon/ribavirin amantadine,"Maynard, M; Ahmed, SNF; Bailly, F...",2004,"Hepatology (Baltimore, Md.)",
475,CN-02500795,Wrong intervention,none,A Study of Secukinumab to Evaluate Maintenance of Response in Participants With Non-radiographic Axial Spondyloarthritis Who Achieved Remission,"NCT05622708,",2022,https://clinicaltrials.gov/study/NCT05622708,
479,CN-02321406,Not NMN/NR intervention,none,"Secukinumab in non-radiographic axial spondyloarthritis: subgroup analysis based on key baseline characteristics from a randomized phase III study, PREVENT","Braun, J; Blanco, R; Marzo-Ortega, H...",2021,Arthritis research &amp; therapy,10.1186/s13075-021-02613-9
480,CN-00789724,Different supplement,none,Tailored antiviral therapy by modelling the decline of HCV infected hepatocytes allows for accurate diversification of treatment duration in responder patients with significant savings,"Colombatto, P; Romagnoli, V; Civitano, L...",2009,"Hepatology (Baltimore, Md.)",10.1002/hep.23306
481,CN-00263974,Not NAD+ precursor,none,Prognostic value of the soluble interleukin-2 receptor in chronic hepatitis C treated with interferon-alfa. Multicenter GER-CYT 04 Group,"Naveau, S; Balian, A; Degos, F...",1999,Journal of hepatology,10.1016/s0168-8278(99)80339-0
482,CN-00721227,Not NMN/NR intervention,none,Liver fibrosis and hepatic stellate cells improvement of chronic hepatitis C patients by interferon-beta-1a with or without sustained viral response,"Rao, HY; Wei, L; Li, J...",2009,Hepato-gastroenterology,
483,CN-02206136,Not NAD+ precursor,none,Large Doses of Methylprednisolone Combined With Gabapentin in Total Knee Arthroplasty,"NCT04653415,",2020,https://clinicaltrials.gov/show/NCT04653415,
484,CN-01968871,No relevant precursor,none,Effects of monitoring of nociceptive levels during general anesthesia on postoperative complications,"UMIN000035415,",2019,https://trialsearch.who.int/Trial2.aspx?TrialID=JPRN-UMIN000035415,
485,CN-01914517,No relevant precursor,none,Response to TNF inhibitors in nonradiographic axial spondyloarthritis versus ankylosing spondylitis: is there a gender issue?,"Ciurea, A; Hebeisen, M; Weber, U...",2017,Swiss medical weekly,
487,CN-00506268,No NMN or NR,none,Retreatment with consensus interferon and ribavirin of HCV patients with non-response or relapse after previous alpha-interferon therapy,"Bocher, WO; Rahman, F; Hillenbrandt, H...",2004,"Hepatology (Baltimore, Md.)",
489,CN-01656504,Not NAD+ precursor,none,"Efficacy and safety of etanercept in patients from Latin America, Central Europe and Asia with early non-radiographic axial spondyloarthritis","Wei, JC; Tsai, WC; Citera, G...",2018,International journal of rheumatic diseases,10.1111/1756-185X.12973
490,CN-02813659,Unrelated intervention,none,ACHIEVEMENT OF LOW DISEASE ACTIVITY OVER 52 WEEKS IN PATIENTS WITH ACTIVE AXIAL SPONDYLOARTHRITIS ON BIMEKIZUMAB TREATMENT: RESULTS FROM THE PHASE 3 STUDIES BE MOBILE 1 AND BE MOBILE 2,"Baraliakos, X; Ramiro, S; Magrey, M...",2024,Rheumatology,10.1093/rheumatology/keae163.295
491,CN-02203687,Wrong intervention,none,Impact of ixekizumab on work productivity in non-radiographic axial spondyloarthritis patients: results from the coast-x trial at 52 weeks,"Deodhar, A; Mease, PJ; Gensler, LS...",2020,Annals of the rheumatic diseases,10.1136/annrheumdis-2020-eular.2056
492,CN-00221178,No relevant precursor,none,"A pilot randomized, controlled trial of the effect of iron depletion on long-term response to (alpha)-interferon in patients with chronic hepatitis C virus","Han, S-H; Tsai, N; Morgan, TR...",1996,"Hepatology (Baltimore, Md.)",
493,CN-01790106,Wrong intervention,none,Efficacy and safety outcomes in patients with non-radiographic axial spondyloarthritis treated with certolizumab pegol: results from the first 52-week randomized placebo-controlled study (NCT02552212),"Deodhar, AA; Gensler, LS; Kay, J...",2018,Arthritis &amp; rheumatology,10.1002/art.40700
494,CN-02772222,Wrong intervention,none,1282P Activity of brigatinib based on genomic alterations detected on ctDNA at baseline and at progression in ALK inhibitor-naïve advanced ALK+ NSCLC from the ALTA-1L trial,"Mezquita, L; Laguna Montes, JC; Ferriol-Galmes, M...",2024,Annals of oncology,10.1016/j.annonc.2024.08.1339
495,CN-01981211,Unrelated intervention,none,"Efficacy and safety of brodalumab, an anti-interleukin-17 receptor a monoclonal antibody, in patients with axial spondyloarthritis: a 16 week results of a phase 3, multicenter, randomized, doubleblind, placebo-controlled study","Wei, JC-C; Kim, T-H; Kishimoto, M...",2019,Annals of the rheumatic diseases,10.1136/annrheumdis-2019-eular.6888
496,CN-02822067,Not NMN/NR intervention,none,Additional Outcomes from the First 52-Week Randomized Placebo-Controlled Study (NCT02552212) in Patients with Non-Radiographic Axial Spondyloarthritis Treated with Certolizumab Pegol,"Maksymowych, W; Deodhar, A; Gensler, L...",2019,Journal of rheumatology,10.3899/jrheum.190333
497,CN-00879521,Wrong intervention,none,Amantadine in non-responder patients with chronic hepatitis C: a randomized prospective study,"Palabıyıkoğlu, M; Ormeci, N; Ekiz, F...",2012,Hepato-gastroenterology,10.5754/hge10341
498,CN-02875836,Not NAD+ precursor,none,POS0864 ACHIEVEMENT OF REMISSION DEFINED BY ABSENCE OF OBJECTIVE SIGNS OF INFLAMMATION VERSUS ASDAS INACTIVE DISEASE IN PATIENTS WITH ACTIVE AXIAL SPONDYLOARTHRITIS TREATED WITH BIMEKIZUMAB: 52-WEEK RESULTS FROM TWO PHASE 3 STUDIES,"Rudwaleit, M; Marzo-Ortega, H; Taieb, V...",2025,Annals of the rheumatic diseases,10.1016/j.ard.2025.06.220
499,CN-01158609,Unrelated intervention,none,Observed Incidence of Uveitis Following Certolizumab Pegol Treatment in Patients With Axial Spondyloarthritis,"Rudwaleit, M; Rosenbaum, JT; Landewé, R...",2016,Arthritis care &amp; research,10.1002/acr.22848
500,CN-02337730,No relevant precursor,none,Secukinumab provides sustained improvement in Non-radiographic Axial Spondyloarthritis: 2-year data from the PREVENT study,"Kameda, H; Poddubnyy, D; Deodhar, A...",2021,International journal of rheumatic diseases,10.1111/1756-185X.14199
501,CN-02871997,Different supplement,none,ACHIEVEMENT OF REMISSION DEFINED BY THE ABSENCE OF OBJECTIVE SIGNS OF INFLAMMATION VERSUS AXIAL SPONDYLOARTHRITIS DISEASE ACTIVITY SCORE- INACTIVE DISEASE IN PATIENTS WITH ACTIVE AXIAL SPONDYLOARTHRITIS TREATEDWITH BIMEKIZUMAB: 52-WEEK RESULTS FROM 2 PHASE 3 STUDIES,"Rahman, P; Gensler, LS; Marzo-Ortega, H...",2025,Journal of clinical rheumatology,
502,CN-02460335,Wrong intervention,none,"EFFICACY and SAFETY of UPADACITINIB in PATIENTS with ACTIVE NON-RADIOGRAPHIC AXIAL SPONDYLOARTHRITIS: a DOUBLE-BLIND, RANDOMIZED, PLACEBO-CONTROLLED PHASE 3 TRIAL","Deodhar, A; Van Den Bosch, F; Poddubnyy, D...",2022,Annals of the rheumatic diseases,10.1136/annrheumdis-2022-eular.2534
503,CN-02906984,No NMN or NR,none,A Randomised trial of nucleos(t)ide withdrawal vs nucleos(t)ide withdrawal with adjuvant pegylated-interferon in HBeAg-negative hepatitis B virus infection to promote HBsAg clearance (NUC-B),"Thursz, MR; Lemoine, M; Brown, A...",2025,Journal of hepatology,10.1016/S0168-8278(25)00384-8
504,CN-02383830,Unrelated intervention,none,Durable responses with intratumoral electroporation of plasmid interleukin 12 plus pembrolizumab in patients with advanced melanoma progressing on an anti-PD-1 antibody: updated data from KEYNOTE 695,"Fernandez-Penas, P; Carlino, M; Tsai, K...",2021,Journal for immunotherapy of cancer,10.1136/jitc-2021-SITC2021.383
505,CN-02460331,Not NMN/NR intervention,none,EFFICACY of SECUKINUMAB in PATIENTS with NON-RADIOGRAPHIC AXIAL SPONDYLOARTHRITIS: ANALYSIS by SYMPTOM DURATION and AGE,"Deodhar, A; Poddubnyy, D; Blanco, R...",2022,Annals of the rheumatic diseases,10.1136/annrheumdis-2022-eular.1732
506,CN-02303691,No NMN/NR,none,Secukinumab 150 mg provides sustained improvement in signs and symptoms of non-radiographic axial spondyloarthritis: 2-year results from the prevent study,"Poddubnyy, D; Deodhar, A; Baraliakos, X...",2021,Annals of the rheumatic diseases,10.1136/annrheumdis-2021-eular.143
507,CN-01294554,No relevant precursor,none,Baseline demographic and disease characteristics associated with response to golimumab in patients with active non radiographic axial spondyloarthritis,"Dougados, M; Bergman, G; Maksymowych, W...",2016,Journal of rheumatology,10.3899/jrheum.160272
508,CN-02339852,No relevant precursor,none,Predictors of long-term clinical response in patients with non-radiographic axial spondyloarthritis receiving certolizumab pegol,"Maksymowych, WP; Kumke, T; Auteri, SE...",2021,Arthritis research &amp; therapy,10.1186/s13075-021-02650-4
509,CN-01162918,No NMN/NR,none,Baseline demographic and disease characteristics associated with response to golimumab in patients with active nonradiographic axial spondyloarthritis,"Dougados, M; Bergman, G; Maksymowych, WP...",2015,Annals of the rheumatic diseases,10.1136/annrheumdis-2015-eular.2817
